GAME,IDX,SPECIES,FORM,GENDER,TAG
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",1,Bulbasaur,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",2,Ivysaur,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",3,Venusaur,,,
HOME,3,Venusaur,Mega,,NOTRANSFER
"SWORD,SHIELD,HOME",3,Venusaur,Gigantamax,,NOTRANSFER
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",4,Charmander,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",5,Charmeleon,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",6,Charizard,,,
HOME,6,Charizard,Mega X,,NOTRANSFER
HOME,6,Charizard,Mega Y,,NOTRANSFER
"SWORD,SHIELD,HOME",6,Charizard,Gigantamax,,NOTRANSFER
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",7,Squirtle,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",8,Wartortle,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",9,Blastoise,,,
HOME,9,Blastoise,Mega,,NOTRANSFER
"SWORD,SHIELD,HOME",9,Blastoise,Gigantamax,,NOTRANSFER
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",10,Caterpie,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",11,Metapod,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",12,Butterfree,,,
"SWORD,SHIELD,HOME",12,Butterfree,Gigantamax,,NOTRANSFER
"BRILLIANTDIAMOND,SHININGPEARL,HOME",13,Weedle,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",14,Kakuna,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",15,Beedrill,,,
HOME,15,Beedrill,Mega,,NOTRANSFER
"BRILLIANTDIAMOND,SHININGPEARL,HOME",16,Pidgey,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",17,Pidgeotto,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",18,Pidgeot,,,
HOME,18,Pidgeot,Mega,,NOTRANSFER
"BRILLIANTDIAMOND,SHININGPEARL,HOME",19,Rattata,,,
HOME,19,Rattata,Alolan,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",20,Raticate,,,
HOME,20,Raticate,Alolan,,
NONE,20,Raticate,Alolan Totem,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",21,Spearow,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",22,Fearow,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",23,Ekans,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",24,Arbok,,,
ALL,25,Pikachu,,,
NONE,25,Pikachu,Cosplay,FEMALE,
NONE,25,Pikachu,Rock Star,FEMALE,
NONE,25,Pikachu,Belle,FEMALE,
NONE,25,Pikachu,Pop Star,FEMALE,
NONE,25,Pikachu,Ph.D.,FEMALE,
NONE,25,Pikachu,Libre,FEMALE,
"SWORD,SHIELD,HOME",25,Pikachu,Original Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Hoenn Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Sinnoh Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Unova Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Kalos Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Alola Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Partner Cap,MALE,
NONE,25,Pikachu,Partner,,
"SWORD,SHIELD,HOME",25,Pikachu,World Cap,MALE,
"SWORD,SHIELD,HOME",25,Pikachu,Gigantamax,,NOTRANSFER
ALL,26,Raichu,,,
"SWORD,SHIELD,HOME",26,Raichu,Alolan,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",27,Sandshrew,,,
"SWORD,SHIELD,HOME",27,Sandshrew,Alolan,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",28,Sandslash,,,
"SWORD,SHIELD,HOME",28,Sandslash,Alolan,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",29,Nidoran♀,,FEMALE,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",30,Nidorina,,FEMALE,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",31,Nidoqueen,,FEMALE,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",32,Nidoran♂,,MALE,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",33,Nidorino,,MALE,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",34,Nidoking,,MALE,
ALL,35,Clefairy,,,
ALL,36,Clefable,,,
ALL,37,Vulpix,,,
"SWORD,SHIELD,LEGENDSARCEUS,HOME",37,Vulpix,Alolan,,
ALL,38,Ninetales,,,
"SWORD,SHIELD,LEGENDSARCEUS,HOME",38,Ninetales,Alolan,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",39,Jigglypuff,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",40,Wigglytuff,,,
ALL,41,Zubat,,,
ALL,42,Golbat,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",43,Oddish,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",44,Gloom,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",45,Vileplume,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS,HOME",46,Paras,,,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS,HOME",47,Parasect,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",48,Venonat,,,
"BRILLIANTDIAMOND,SHININGPEARL,HOME",49,Venomoth,,,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,HOME",50,Diglett,,,
"SWORD,SHIELD,HOME",50,Diglett,Alolan,,
