GAME,REQUIRED,FORM
HOME,Venusaur,Venusaur_Mega
"SWORD,SHIELD,HOME",Venusaur_GMAX,Venusaur_Gigantamax
HOME,Charizard,Charizard_Mega X
HOME,Charizard,Charizard_Mega Y
"SWORD,SHIELD,HOME",Charizard_GMAX,Charizard_Gigantamax
HOME,Blastoise,Blastoise_Mega
"SWORD,SHIELD,HOME",Blastoise_GMAX,Blastoise_Gigantamax
"SWORD,SHIELD,HOME",Butterfree_GMAX,Butterfree_Gigantamax
HOME,Beedrill,Beedrill_Mega
HOME,Pidgeot,Pidgeot_Mega
"SWORD,SHIELD,HOME",Pikachu_GMAX,Pikachu_Gigantamax
"SWORD,SHIELD,HOME",Meowth_GMAX,Meowth_Gigantamax
HOME,Alakazam,Alakazam_Mega
"SWORD,SHIELD,HOME",Machamp_GMAX,Machamp_Gigantamax
HOME,Slowbro,Slowbro_Mega
HOME,Gengar,Gengar_Mega
"SWORD,SHIELD,HOME",Gengar_GMAX,Gengar_Gigantamax
"SWORD,SHIELD,HOME",Kingler_GMAX,Kingler_Gigantamax
HOME,Kangaskhan,Kangaskhan_Mega
HOME,Pinsir,Pinsir_Mega
HOME,Gyarados,Gyarados_Mega
"SWORD,SHIELD,HOME",Lapras_GMAX,Lapras_Gigantamax
"SWORD,SHIELD,HOME",Eevee_GMAX,Eevee_Gigantamax
HOME,Aerodactyl,Aerodactyl_Mega
"SWORD,SHIELD,HOME",Snorlax_GMAX,Snorlax_Gigantamax
HOME,Mewtwo,Mewtwo_Mega X
HOME,Mewtwo,Mewtwo_Mega Y
HOME,Ampharos,Ampharos_Mega
HOME,Steelix,Steelix_Mega
HOME,Scizor,Scizor_Mega
HOME,Heracross,Heracross_Mega
HOME,Houndoom,Houndoom_Mega
HOME,Tyranitar,Tyranitar_Mega
HOME,Sceptile,Sceptile_Mega
HOME,Blaziken,Blaziken_Mega
HOME,Swampert,Swampert_Mega
HOME,Gardevoir,Gardevoir_Mega
HOME,Sableye,Sableye_Mega
HOME,Mawile,Mawile_Mega
HOME,Aggron,Aggron_Mega
HOME,Medicham,Medicham_Mega
HOME,Manectric,Manectric_Mega
HOME,Sharpedo,Sharpedo_Mega
HOME,Camerupt,Camerupt_Mega
HOME,Altaria,Altaria_Mega
"BRILLIANTDIAMOND,SHININGPEARL,HOME",Castform,Castform_Sunny
"BRILLIANTDIAMOND,SHININGPEARL,HOME",Castform,Castform_Rainy
"BRILLIANTDIAMOND,SHININGPEARL,HOME",Castform,Castform_Snowy
HOME,Banette,Banette_Mega
HOME,Absol,Absol_Mega
HOME,Glalie,Glalie_Mega
HOME,Salamence,Salamence_Mega
HOME,Metagross,Metagross_Mega
HOME,Latias,Latias_Mega
HOME,Latios,Latios_Mega
HOME,Kyogre,Kyogre_Primal
HOME,Groudon,Groudon_Primal
HOME,Rayquaza_Dragon Ascent,Rayquaza_Mega
ALL,Cherrim_Overcast,Cherrim_Sunshine
HOME,Lopunny,Lopunny_Mega
HOME,Garchomp,Garchomp_Mega
HOME,Lucario,Lucario_Mega
HOME,Abomasnow,Abomasnow_Mega
HOME,Gallade,Gallade_Mega
HOME,Dialga,Dialga_Origin
HOME,Palkia,Palkia_Origin
HOME,Giratina_Altered,Giratina_Origin
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL","Giratina_Altered,Griseous Orb",Giratina_Origin
"BRILLIANTDIAMOND,SHININGPEARL","Arceus,Insect Plate",Arceus_Bug
"BRILLIANTDIAMOND,SHININGPEARL","Arceus,Dread Plate",Arceus_Dark
"BRILLIANTDIAMOND,SHININGPEARL","Arceus,Draco Plate",Arceus_Dragon
"BRILLIANTDIAMOND,SHININGPEARL","Arceus,Zap Plate",Arceus_Electric
