GAME,ITEM,KEY
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Ability Patch,
"BRILLIANTDIAMOND,SHININGPEARL",Armor Fossil,
"SWORD,SHIELD",Berry Sweet,
LEGENDSARCEUS,Black Augurite,
"SWORD,SHIELD",Bug Memory,
"SWORD,SHIELD",Burn Drive,
"SWORD,SHIELD",Chill Drive,
"SWORD,SHIELD",Chipped Pot,
"BRILLIANTDIAMOND,SHININGPEARL",Claw Fossil,
"SWORD,SHIELD",Clover Sweet,
"SWORD,SHIELD",Cracked Pot,
"SWORD,SHIELD",Dark Memory,
ALL,Dawn Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Scale,
"BRILLIANTDIAMOND,SHININGPEARL",Deep Sea Tooth,
"BRILLIANTDIAMOND,SHININGPEARL",Dome Fossil,
"SWORD,SHIELD",Douse Drive,
"BRILLIANTDIAMOND,SHININGPEARL",Draco Plate,
"SWORD,SHIELD",Dragon Memory,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Dragon Scale,
"BRILLIANTDIAMOND,SHININGPEARL",Dread Plate,
ALL,Dubious Disc,
ALL,Dusk Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Earth Plate,
ALL,Electirizer,
"SWORD,SHIELD",Electric Memory,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Everstone,
"SWORD,SHIELD",Fairy Memory,
"SWORD,SHIELD",Fighting Memory,
"SWORD,SHIELD",Fire Memory,
ALL,Fire Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Fist Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Flame Plate,
"SWORD,SHIELD",Flower Sweet,
"SWORD,SHIELD",Flying Memory,
"SWORD,SHIELD",Fossilized Bird,
"SWORD,SHIELD",Fossilized Dino,
"SWORD,SHIELD",Fossilized Drake,
"SWORD,SHIELD",Fossilized Fish,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Full Incense,
"SWORD,SHIELD",Galarica Cuff,
"SWORD,SHIELD",Galarica Wreath,
"SWORD,SHIELD",Ghost Memory,
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",Gracidea,TRUE
"SWORD,SHIELD",Grass Memory,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Griseous Orb,
"SWORD,SHIELD",Ground Memory,
"BRILLIANTDIAMOND,SHININGPEARL",Helix Fossil,
"SWORD,SHIELD",Ice Memory,
ALL,Ice Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Icicle Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Insect Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Iron Plate,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",King's Rock,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Lax Incense,
ALL,Leaf Stone,
"SWORD,SHIELD",Love Sweet,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Luck Incense,
ALL,Magmarizer,
"BRILLIANTDIAMOND,SHININGPEARL",Meadow Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Member Card,TRUE
ALL,Metal Coat,
"BRILLIANTDIAMOND,SHININGPEARL",Mind Plate,
ALL,Moon Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Oak's Letter,TRUE
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Odd Incense,
"BRILLIANTDIAMOND,SHININGPEARL",Old Amber,
ALL,Oval Stone,
LEGENDSARCEUS,Peat Block,
"BRILLIANTDIAMOND,SHININGPEARL",Pixie Plate,
"SWORD,SHIELD",Poison Memory,
"SWORD,SHIELD",Prism Scale,
ALL,Protector,
"SWORD,SHIELD",Psychic Memory,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Pure Incense,
ALL,Razor Claw,
ALL,Razor Fang,
ALL,Reaper Cloth,
"SWORD,SHIELD",Reins of Unity,TRUE
"SWORD,SHIELD",Ribbon Sweet,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Rock Incense,
"SWORD,SHIELD",Rock Memory,
"BRILLIANTDIAMOND,SHININGPEARL",Root Fossil,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Rose Incense,
"SWORD,SHIELD",Rusted Shield,
"SWORD,SHIELD",Rusted Sword,
"SWORD,SHIELD",Sachet,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Sea Incense,
ALL,Shiny Stone,
"SWORD,SHIELD",Shock Drive,
"BRILLIANTDIAMOND,SHININGPEARL",Skull Fossil,
"BRILLIANTDIAMOND,SHININGPEARL",Sky Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Splash Plate,
"BRILLIANTDIAMOND,SHININGPEARL",Spooky Plate,
"SWORD,SHIELD",Star Sweet,
"SWORD,SHIELD",Steel Memory,
"BRILLIANTDIAMOND,SHININGPEARL",Stone Plate,
"SWORD,SHIELD",Strawberry Sweet,
ALL,Sun Stone,
"SWORD,SHIELD",Sweet Apple,
"SWORD,SHIELD",Tart Apple,
ALL,Thunder Stone,
"BRILLIANTDIAMOND,SHININGPEARL",Toxic Plate,
ALL,Upgrade,
"SWORD,SHIELD",Water Memory,
ALL,Water Stone,
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Wave Incense,
"SWORD,SHIELD",Whipped Dream,
"BRILLIANTDIAMOND,SHININGPEARL",Zap Plate,
