GAME,POKEMON_OR_ITEM,REQUIRED
"SWORD,SHIELD",$INTERNET,
"SWORD,SHIELD","Grookey,$FP_G;Scorbunny,$FP_F;Sobble,$FP_W",
"SWORD,SHIELD",Pikachu_GMAX,LETSGOPIKACHU
"SWORD,SHIELD",Eevee_GMAX,LETSGOEEVEE
"SWORD,SHIELD",Toxel,
"SWORD,SHIELD",Charmander_GMAX,
"SWORD,SHIELD","Type: Null,Bug Memory,Dark Memory,Dragon Memory,Electric Memory,Fairy Memory,Fighting Memory,Fire Memory,Flying Memory,Ghost Memory,Grass Memory,Ground Memory,Ice Memory,Poison Memory,Psychic Memory,Rock Memory,Steel Memory,Water Memory",
"SWORD,SHIELD",Slowpoke_Galarian,
SWORD,$ISLEOFARMOR,SWORD_DLC
SHIELD,$ISLEOFARMOR,SHIELD_DLC
SWORD,$CROWNTUNDRA,SWORD_DLC
SHIELD,$CROWNTUNDRA,SHIELD_DLC
"SWORD,SHIELD",Bulbasaur_GMAX;Squirtle_GMAX,$ISLEOFARMOR
"SWORD,SHIELD",Kubfu,$ISLEOFARMOR
"SWORD,SHIELD",$TOWEROFDARKNESS;$TOWEROFWATERS,$ISLEOFARMOR
"SWORD,SHIELD",Porygon,$ISLEOFARMOR
"SWORD,SHIELD",Meowth_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Slowpoke,$ISLEOFARMOR
"SWORD,SHIELD",Vulpix_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Sandshrew_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Raichu_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Marowak_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Exeggutor_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Rowlet,"$ISLEOFARMOR,$FP_G"
"SWORD,SHIELD",Litten,"$ISLEOFARMOR,$FP_F"
"SWORD,SHIELD",Popplio,"$ISLEOFARMOR,$FP_W"
"SWORD,SHIELD",Diglett_Alolan,$ISLEOFARMOR
"SWORD,SHIELD",Cosmog,$CROWNTUNDRA
"SWORD,SHIELD",Poipole,$CROWNTUNDRA
"SWORD,SHIELD",Regieleki;Regidrago,$CROWNTUNDRA
"SWORD,SHIELD",Glastrier;Spectrier,$CROWNTUNDRA
"BRILLIANTDIAMOND,SHININGPEARL",Turtwig;Chimchar;Piplup,
"BRILLIANTDIAMOND,SHININGPEARL",Eevee,
"BRILLIANTDIAMOND,SHININGPEARL",$LGSAVE,LETSGOPIKACHU
"BRILLIANTDIAMOND,SHININGPEARL",$LGSAVE,LETSGOEEVEE
"BRILLIANTDIAMOND,SHININGPEARL",Mew,$LGSAVE
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",$SWSHSAVE,SWORD
"BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS",$SWSHSAVE,SHIELD
"BRILLIANTDIAMOND,SHININGPEARL",$LASAVE,LEGENDSARCEUS
"BRILLIANTDIAMOND,SHININGPEARL",Jirachi,$SWSHSAVE
"BRILLIANTDIAMOND,SHININGPEARL",Happiny,
"BRILLIANTDIAMOND,SHININGPEARL",Riolu,
LEGENDSAREUS,Rowlet,
LEGENDSAREUS,Cyndaquil,
LEGENDSARCEUS,Oshawott,
LEGENDSARCEUS,Vulpix_Alolan,
LEGENDSARCEUS,Arceus,
LEGENDSARCEUS,$BDSPSAVE,BRILLIANTDIAMOND
LEGENDSARCEUS,$BDSPSAVE,SHININGPEARL
HOME,Pikachu_MALE,
HOME,Bulbasaur_MALE;Charmander_MALE;Squirtle_MALE
HOME,Pichu_MALE,
HOME,Rotom,
HOME,Eevee_FEMALE,
HOME,$SWSH,SWORD
HOME,$SWSH,SHIELD
HOME,Grookey_MALE,$SWSH
HOME,Scorbunny_MALE,$SWSH
HOME,Sobble_MALE,$SWSH
HOME,$BDSP,BRILLIANTDIAMOND
HOME,$BDSP,SHININGPEARL
HOME,Turtwig_MALE,$BDSP
HOME,Chimchar_MALE,$BDSP
HOME,Piplup_MALE,$BDSP
HOME,Cyndaquil_MALE,LEGENDSARCEUS
HOME,Oshawott_MALE,LEGENDSARCEUS
HOME,Rowlet_MALE,LEGENDSARCEUS
POKEBALLPLUS,Mew_ONE,
"SWORD,SHIELD",Burn Drive,Genesect
"SWORD,SHIELD",Chill Drive,Genesect
"SWORD,SHIELD",Douse Drive,Genesect
"BRILLIANTDIAMOND,SHININGPEARL",Gracidea,Shaymin_Land
LEGENDSARCEUS,Gracidea,$SWSHSAVE
"SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL",Griseous Orb,Giratina_Altered
"BRILLIANTDIAMOND,SHININGPEAR",Metal Coat,
"SWORD,SHIELD",Reins of Unity,$CROWNTUNDRA
"SWORD,SHIELD",Shock Drive,Genesect
