SPECIES,GAME,ITEM
Clefairy,CORE,Moon Stone
Clefable,CORE,Moon Stone
Poliwhirl,CORE,King's Rock
Poliwrath,CORE,King's Rock
Geodude,CORE,Everstone
Graveler,CORE,Everstone
Golem,CORE,Everstone
Slowbro,CORE,King's Rock
Magnemite,CORE,Metal Coat
Magneton,CORE,Metal Coat
Chansey,CORE,Oval Stone
Horsea,CORE,Dragon Scale
Seadra,CORE,Dragon Scale
Electabuzz,"DIAMOND,PEARL,PLATINUM",Electirizer
Magmar,"DIAMOND,PEARL,PLATINUM",Magmarizer
Dratini,CORE,Dragon Scale
Dragonair,CORE,Dragon Scale
Dragonite,CORE,Dragon Scale
Chinchou,CORE,Deep Sea Scale
Lanturn,CORE,Deep Sea Scale
Cleffa,CORE,Moon Stone
Politoed,CORE,King's Rock
Slowking,CORE,King's Rock
Steelix,CORE,Metal Coat
Kingdra,CORE,Dragon Scale
Elekid,"DIAMOND,PEARL,PLATINUM",Electirizer
Magby,"DIAMOND,PEARL,PLATINUM",Magmarizer
Blissey,CORE,Oval Stone
Hariyama,CORE,King's Rock
Carvanha,CORE,Deep Sea Tooth
Sharpedo,CORE,Deep Sea Tooth
Lunatone,CORE,Moon Stone
Solrock,CORE,Sun Stone
Huntail,CORE,Deep Sea Tooth
Gorebyss,CORE,Deep Sea Scale
Relicanth,CORE,Deep Sea Scale
Beldum,CORE,Metal Coat
Metang,CORE,Metal Coat
Metagross,CORE,Metal Coat
Bronzor,CORE,Metal Coat
Bronzong,CORE,Metal Coat
Happiny,CORE,Oval Stone
Magnezone,CORE,Metal Coat
Electivire,"DIAMOND,PEARL,PLATINUM",Electirizer
Magmortar,"DIAMOND,PEARL,PLATINUM",Magmarizer
