GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON
ALL,Bulbasaur,Ivysaur,,,
ALL,Ivysaur,Venusaur,,,
ALL,Charmander,Charmeleon,,,
ALL,Charmeleon,Charizard,,,
ALL,Squirtle,Wartortle,,,
ALL,Wartortle,Blastoise,,,
ALL,Caterpie,Metapod,,,
ALL,Metapod,Butterfree,,,
ALL,Weedle,Kakuna,,,
ALL,Kakuna,Beedrill,,,
ALL,Pidgey,Pidgeotto,,,
ALL,Pidgeotto,Pidgeot,,,
ALL,Rattata,Raticate,,,
ALL,Spearow,Fearow,,,
ALL,Ekans,Arbok,,,
ALL,Pikachu,Raichu,Thunder Stone,,
ALL,Sandshrew,Sandslash,,,
ALL,Nidoran♀,Nidorina,,,
ALL,Nidorina,Nidoqueen,Moon Stone,,
ALL,Nidoran♂,Nidorino,,,
ALL,Nidorino,Nidoking,Moon Stone,,
ALL,Clefairy,Clefable,Moon Stone,,
ALL,Vulpix,Ninetales,Fire Stone,,
ALL,Jigglypuff,Wigglytuff,Moon Stone,,
ALL,Zubat,Golbat,,,
ALL,Oddish,Gloom,,,
ALL,Gloom,Vileplume,Leaf Stone,,
ALL,Paras,Parasect,,,
ALL,Venonat,Venomoth,,,
ALL,Diglett,Dugtrio,,,
ALL,Meowth,Persian,,,
ALL,Psyduck,Golduck,,,
ALL,Mankey,Primeape,,,
ALL,Growlithe,Arcanine,Fire Stone,,
ALL,Poliwag,Poliwhirl,,,
ALL,Poliwhirl,Poliwrath,Water Stone,,
ALL,Abra,Kadabra,,,
ALL,Kadabra,Alakazam,,TRUE,
ALL,Machop,Machoke,,,
ALL,Machoke,Machamp,,TRUE,
ALL,Bellsprout,Weepinbell,,,
ALL,Weepinbell,Victreebel,Leaf Stone,,
ALL,Tentacool,Tentacruel,,,
ALL,Geodude,Graveler,,,
ALL,Graveler,Golem,,TRUE,
ALL,Ponyta,Rapidash,,,
ALL,Slowpoke,Slowbro,,,
ALL,Magnemite,Magneton,,,
ALL,Doduo,Dodrio,,,
ALL,Seel,Dewgong,,,
ALL,Grimer,Muk,,,
ALL,Shellder,Cloyster,Water Stone,,
ALL,Gastly,Haunter,,,
ALL,Haunter,Gengar,,TRUE,
ALL,Drowzee,Hypno,,,
ALL,Krabby,Kingler,,,
ALL,Voltorb,Electrode,,,
ALL,Exeggcute,Exeggutor,Leaf Stone,,
ALL,Cubone,Marowak,,,
ALL,Koffing,Weezing,,,
ALL,Rhyhorn,Rhydon,,,
ALL,Horsea,Seadra,,,
ALL,Goldeen,Seaking,,,
ALL,Staryu,Starmie,Water Stone,,
ALL,Magikarp,Gyarados,,,
ALL,Eevee,Vaporeon,Water Stone,,
ALL,Eevee,Jolteon,Thunder Stone,,
ALL,Eevee,Flareon,Fire Stone,,
ALL,Omanyte,Omastar,,,
ALL,Kabuto,Kabutops,,,
ALL,Dratini,Dragonair,,,
ALL,Dragonair,Dragonite,,,
ALL,Chikorita,Bayleef,,,
ALL,Bayleef,Meganium,,,
ALL,Cyndaquil,Quilava,,,
ALL,Quilava,Typhlosion,,,
ALL,Totodile,Croconaw,,,
ALL,Croconaw,Feraligatr,,,
ALL,Sentret,Furret,,,
ALL,Hoothoot,Noctowl,,,
ALL,Ledyba,Ledian,,,
ALL,Spinarak,Ariados,,,
ALL,Golbat,Crobat,,,
ALL,Chinchou,Lanturn,,,
ALL,Pichu,Pikachu,,,
ALL,Cleffa,Clefairy,,,
ALL,Igglybuff,Jigglypuff,,,
ALL,Togepi,Togetic,,,
ALL,Natu,Xatu,,,
ALL,Mareep,Flaaffy,,,
ALL,Flaaffy,Ampharos,,,
ALL,Gloom,Bellossom,Sun Stone,,
ALL,Marill,Azumarill,,,
ALL,Poliwhirl,Politoed,King's Rock,TRUE,
ALL,Hoppip,Skiploom,,,
ALL,Skiploom,Jumpluff,,,
ALL,Sunkern,Sunflora,Sun Stone,,
ALL,Wooper,Quagsire,,,
ALL,Eevee,Espeon,,,
ALL,Eevee,Umbreon,,,
ALL,Slowpoke,Slowking,King's Rock,TRUE,
ALL,Pineco,Forretress,,,
ALL,Onix,Steelix,Metal Coat,TRUE,
ALL,Snubbull,Granbull,,,
ALL,Scyther,Scizor,Metal Coat,TRUE,
ALL,Teddiursa,Ursaring,,,
ALL,Slugma,Magcargo,,,
ALL,Swinub,Piloswine,,,
ALL,Remoraid,Octillery,,,
ALL,Houndour,Houndoom,,,
ALL,Seadra,Kingdra,Dragon Scale,TRUE,
ALL,Phanpy,Donphan,,,
ALL,Porygon,Porygon2,Upgrade,TRUE,
ALL,Tyrogue,Hitmonlee,,,
ALL,Tyrogue,Hitmonchan,,,
ALL,Tyrogue,Hitmontop,,,
ALL,Smoochum,Jynx,,,
ALL,Elekid,Electabuzz,,,
ALL,Magby,Magmar,,,
ALL,Chansey,Blissey,,,
ALL,Larvitar,Pupitar,,,
ALL,Pupitar,Tyranitar,,,
ALL,Treecko,Grovyle,,,
ALL,Grovyle,Sceptile,,,
ALL,Torchic,Combusken,,,
ALL,Combusken,Blaziken,,,
ALL,Mudkip,Marshtomp,,,
ALL,Marshtomp,Swampert,,,
ALL,Poochyena,Mightyena,,,
ALL,Zigzagoon,Linoone,,,
ALL,Wurmple,Silcoon,,,
ALL,Silcoon,Beautifly,,,
ALL,Wurmple,Cascoon,,,
ALL,Cascoon,Dustox,,,
ALL,Lotad,Lombre,,,
ALL,Lombre,Ludicolo,Water Stone,,
ALL,Seedot,Nuzleaf,,,
ALL,Nuzleaf,Shiftry,Leaf Stone,,
ALL,Taillow,Swellow,,,
ALL,Wingull,Pelipper,,,
ALL,Ralts,Kirlia,,,
ALL,Kirlia,Gardevoir,,,
ALL,Surskit,Masquerain,,,
ALL,Shroomish,Breloom,,,
ALL,Slakoth,Vigoroth,,,
ALL,Vigoroth,Slaking,,,
ALL,Nincada,"Ninjask,Shedinja",,,
ALL,Whismur,Loudred,,,
ALL,Loudred,Exploud,,,
ALL,Makuhita,Hariyama,,,
ALL,Azurill,Marill,,,
ALL,Skitty,Delcatty,Moon Stone,,
ALL,Aron,Lairon,,,
ALL,Lairon,Aggron,,,
ALL,Meditite,Medicham,,,
ALL,Electrike,Manectric,,,
ALL,Gulpin,Swalot,,,
ALL,Carvanha,Sharpedo,,,
ALL,Wailmer,Wailord,,,
ALL,Numel,Camerupt,,,
ALL,Spoink,Grumpig,,,
ALL,Trapinch,Vibrava,,,
ALL,Vibrava,Flygon,,,
ALL,Cacnea,Cacturne,,,
ALL,Swablu,Altaria,,,
ALL,Barboach,Whiscash,,,
ALL,Corphish,Crawdaunt,,,
ALL,Baltoy,Claydol,,,
ALL,Lileep,Cradily,,,
ALL,Anorith,Armaldo,,,
ALL,Feebas,Feebas_BEAUTIFUL,,,
ALL,Feebas_BEAUTIFUL,Milotic,,,
ALL,Shuppet,Banette,,,
ALL,Duskull,Dusclops,,,
ALL,Wynaut,Wobbuffet,,,
ALL,Snorunt,Glalie,,,
ALL,Spheal,Sealeo,,,
ALL,Sealeo,Walrein,,,
ALL,Clamperl,Huntail,Deep Sea Tooth,TRUE,
ALL,Clamperl,Gorebyss,Deep Sea Scale,TRUE,
ALL,Bagon,Shelgon,,,
ALL,Shelgon,Salamence,,,
ALL,Beldum,Metang,,,
ALL,Metang,Metagross,,,
ALL,Turtwig,Grotle,,,
ALL,Grotle,Torterra,,,
ALL,Chimchar,Monferno,,,
ALL,Monferno,Infernape,,,
ALL,Piplup,Prinplup,,,
ALL,Prinplup,Empoleon,,,
ALL,Starly,Staravia,,,
ALL,Staravia,Staraptor,,,
ALL,Bidoof,Bibarel,,,
ALL,Kricketot,Kricketune,,,
ALL,Shinx,Luxio,,,
ALL,Luxio,Luxray,,,
