PARENT,CHILD,ITEM
Bulbasaur,Bulbasaur,
Ivysaur,Bulbasaur,
Venusaur,Bulbasaur,
Charmander,Charmander,
Charmeleon,Charmander,
Charizard,Charmander,
Squirtle,Squirtle,
Wartortle,Squirtle,
Blastoise,Squirtle,
Caterpie,Caterpie,
Metapod,Caterpie,
Butterfree,Caterpie,
Weedle,Weedle,
Kakuna,Weedle,
Beedrill,Weedle,
Pidgey,Pidgey,
Pidgeotto,Pidgey,
Pidgeot,Pidgey,
Rattata,Rattata,
Raticate,Rattata,
Spearow,Spearow,
Fearow,Spearow,
Ekans,Ekans,
Arbok,Ekans,
Pikachu,Pichu,
Raichu,Pichu,
Sandshrew,Sandshrew,
Sandslash,Sandshrew,
Nidoran F,Nidoran F,
Nidoran F,Nidoran M,
Nidoran M,Nidoran M,
Nidorino,Nidoran M,
Nidoking,Nidoran M,
Clefairy,Cleffa,
Clefable,Cleffa,
Vulpix,Vulpix,
Ninetales,Vulpix,
Jigglypuff,Igglybuff,
Wigglytuff,Igglybuff,
Zubat,Zubat,
Golbat,Zubat,
Oddish,Oddish,
Gloom,Oddish,
Vileplume,Oddish,
Paras,Paras,
Parasect,Paras,
Venonat,Venonat,
Venomoth,Venonat,
Diglett,Diglett,
Dugtrio,Diglett,
Meowth,Meowth,
Persian,Meowth,
Psyduck,Psyduck,
Golduck,Psyduck,
Mankey,Mankey,
Primeape,Mankey,
Growlithe,Growlithe,
Arcanine,Growlithe,
Poliwag,Poliwag,
Poliwhirl,Poliwag,
Poliwrath,Poliwag,
Abra,Abra,
Kadabra,Abra,
Alakazam,Abra,
Machop,Machop,
Machoke,Machop,
Machamp,Machop,
Bellsprout,Bellsprout,
Weepinbell,Bellsprout,
Victreebel,Bellsprout,
Tentacool,Tentacool,
Tentacruel,Tentacool,
Geodude,Geodude,
Graveler,Geodude,
Golem,Geodude,
Ponyta,Ponyta,
Rapidash,Ponyta,
Slowpoke,Slowpoke,
Slowbro,Slowpoke,
