GAME,POKEMON_OR_ITEM,REQUIRED
"DIAMOND,PEARL,PLATINUM",Turtwig;Chimchar;Piplup,
"DIAMOND,PEARL,PLATINUM",Eevee,
"DIAMOND,PEARL,PLATINUM",Riolu,
"DIAMOND,PEARL,PLATINUM",Metal Coat,
"DIAMOND,PEARL,PLATINUM",Upgrade,
"PLATINUM,HEARTGOLD,SOULSILVER",Gracidea,Shaymin_Land_FATEFUL
"DIAMOND,PEARL",Happiny,
"HEARTGOLD,SOULSILVER",Chikorita;Cyndaquil;Totodile,
"HEARTGOLD,SOULSILVER",Togepi,
"HEARTGOLD,SOULSILVER",Mareep,
"HEARTGOLD,SOULSILVER",Wooper,
"HEARTGOLD,SOULSILVER",Slugma,
"HEARTGOLD,SOULSILVER",Spearow_FEMALE,
"HEARTGOLD,SOULSILVER",Eevee,
"HEARTGOLD,SOULSILVER",Shuckle,
"HEARTGOLD,SOULSILVER",Dratini,
"HEARTGOLD,SOULSILVER",Tyrogue,
"HEARTGOLD,SOULSILVER",Bulbasaur;Charmander;Squirtle,
"HEARTGOLD,SOULSILVER",Treecko;Torchic;Mudkip,
"HEARTGOLD,SOULSILVER","Dialga;Palkia;Giratina_Altered,Griseous Orb",Arceus_FATEFUL
"HEARTGOLD,SOULSILVER","Dialga;Palkia;Giratina_Altered,Griseous Orb",Arceus_HALLOFORIGIN
"HEARTGOLD,SOULSILVER",Pichu_Spiky-eared,Pichu_SHINY_FATEFUL
"HEARTGOLD,SOULSILVER",Draco Plate,
"HEARTGOLD,SOULSILVER",Dread Plate,
"HEARTGOLD,SOULSILVER",Earth Plate,
"HEARTGOLD,SOULSILVER",Everstone,
"HEARTGOLD,SOULSILVER",Fist Plate,
"HEARTGOLD,SOULSILVER",Flame Plate,
"HEARTGOLD,SOULSILVER",Icicle Plate,
"HEARTGOLD,SOULSILVER",Insect Plate,
"HEARTGOLD,SOULSILVER",Iron Plate,
"HEARTGOLD,SOULSILVER",Jade Orb,"Kyogre_HG,Groudon_SS"
"HEARTGOLD,SOULSILVER",Leaf Stone,Oddish
"HEARTGOLD,SOULSILVER",Meadow Plate,
"HEARTGOLD,SOULSILVER",Mind Plate,
"HEARTGOLD,SOULSILVER",Sky Plate,
"HEARTGOLD,SOULSILVER",Splash Plate,
"HEARTGOLD,SOULSILVER",Spooky Plate,
"HEARTGOLD,SOULSILVER",Stone Plate,
"HEARTGOLD,SOULSILVER",Thunder Stone,Pichu
"HEARTGOLD,SOULSILVER",Toxic Plate,
"HEARTGOLD,SOULSILVER",Upgrade,
"HEARTGOLD,SOULSILVER",Zap Plate,
PLATINUM,$TRAINERID_ODD;$TRAINERID_EVEN,
PLATINUM,Togepi,
PLATINUM,Porygon,
HEARTGOLD,Blue Orb,
HEARTGOLD,Everstone,Jigglypuff
HEARTGOLD,Fire Stone,Growlithe
HEARTGOLD,Water Stone,Marill
SOULSILVER,Everstone,Lickitung
SOULSILVER,Fire Stone,Vulpix
SOULSILVER,Red Orb,
SOULSILVER,Water Stone,Staryu
BATTLEREVOLUTION,Pikachu_FATEFUL_ONETRANSFER,
BATTLEREVOLUTION,Electivire_FATEFUL_ONETRANSFER,
BATTLEREVOLUTION,Magmortar_FATEFUL_ONETRANSFER,
RANGER,Manaphy_ONE,
SHADOWSOFALMIA,Manaphy_ONE,$MISSION_MANAPHY
SHADOWSOFALMIA,Riolu_ONE_FATEFUL_MALE,$MISSION_RIOLU
SHADOWSOFALMIA,Darkrai_ONE_FATEFUL,$MISSION_DARKRAI
GUARDIANSIGNS,Deoxys_ONETRANSFER_FATEFUL,"GUARDIANSIGNS,$MISSION_DEOXYS"
GUARDIANSIGNS,Manaphy_ONE,$MISSION_MANAPHY
GUARDIANSIGNS,Heatran_ONE_FATEFUL,$MISSION_HEATRAN
GUARDIANSIGNS,Shaymin_Land_ONE_FATEFUL,$MISSION_SHAYMIN
