GAME,GIVE,GET,ITEM,REQUIRED
"DIAMOND,PEARL,PLATINUM",Machop,Abra_MALE,,
"DIAMOND,PEARL,PLATINUM",Buizel,Chatot_FEMALE,,
"DIAMOND,PEARL,PLATINUM",Medicham,Haunter_MALE,Everstone,
"DIAMOND,PEARL,PLATINUM",Finneon,Magikarp_FEMALE,,
"HEARTGOLD,SOULSILVER",Bellsprout,Onix_MALE,,
"HEARTGOLD,SOULSILVER",Drowzee,Machop_FEMALE,,
"HEARTGOLD,SOULSILVER",Krabby,Voltorb,,
"HEARTGOLD,SOULSILVER",Dragonair_FEMALE,Dodrio_FEMALE,,
"HEARTGOLD,SOULSILVER",Dugtrio,Magneton,Metal Coat,
"HEARTGOLD,SOULSILVER",Haunter,Xatu,,
"HEARTGOLD,SOULSILVER",Pikachu,Pikachu,,
"HEARTGOLD,SOULSILVER",Forretress,Beldum,Dawn Stone,
"HEARTGOLD,SOULSILVER",Bonsly,Rhyhorn_FEMALE,,
"HEARTGOLD,SOULSILVER",ANY,Steelix_MALE,,
"DIAMOND,PEARL",ANY,Pikachu_MALE,,RANCH
"DIAMOND,PEARL",ANY,Vulpix_MALE,Fire Stone,RANCH
"DIAMOND,PEARL",ANY,Ponyta_MALE,,RANCH
"DIAMOND,PEARL",ANY,Lickitung_MALE,,RANCH
"DIAMOND,PEARL",ANY,Tangela_FEMALE,,RANCH
"DIAMOND,PEARL",ANY,Eevee_MALE,,RANCH
"DIAMOND,PEARL",ANY,Aerodactyl_MALE,,RANCH
"DIAMOND,PEARL",ANY,Yanma_MALE,,RANCH
"DIAMOND,PEARL",ANY,Miltank,,RANCH
"DIAMOND,PEARL",ANY,Shroomish_MALE,,RANCH
"DIAMOND,PEARL",ANY,Wailmer_MALE,,RANCH
"DIAMOND,PEARL",ANY,Wynaut_MALE,,RANCH
"DIAMOND,PEARL",ANY,Staravia_MALE,,RANCH
"DIAMOND,PEARL",ANY,Combee_FEMALE,,RANCH
"DIAMOND,PEARL",ANY,Pachirisu_FEMALE,,RANCH
"DIAMOND,PEARL",ANY,Shellos_EAST_MALE,,RANCH
"DIAMOND,PEARL",ANY,Buneary_FEMALE,,RANCH
"DIAMOND,PEARL",ANY,Croagunk_MALE,,RANCH
"DIAMOND,PEARL",ANY,Finneon_MALE,,RANCH
"DIAMOND,PEARL",ANY,Snover_MALE,,RANCH
"DIAMOND,PEARL",Leafeon,Phione_FATEFUL,,RANCH
"DIAMOND,PEARL",ANY,Mew_FATEFUL,,RANCH
