GAME,IDX,SPECIES,FORM,GENDER,TAG
ALL,1,Bulbasaur,,,
ALL,2,Ivysaur,,,
ALL,3,Venusaur,,,
ALL,4,Charmander,,,
ALL,5,Charmeleon,,,
ALL,6,Charizard,,,
ALL,7,Squirtle,,,
ALL,8,Wartortle,,,
ALL,9,Blastoise,,,
ALL,10,Caterpie,,,
ALL,11,Metapod,,,
ALL,12,Butterfree,,,
ALL,13,Weedle,,,
ALL,14,Kakuna,,,
ALL,15,Beedrill,,,
ALL,16,Pidgey,,,
ALL,17,Pidgeotto,,,
ALL,18,Pidgeot,,,
ALL,19,Rattata,,,
ALL,20,Raticate,,,
ALL,21,Spearow,,,
ALL,22,Fearow,,,
ALL,23,Ekans,,,
ALL,24,Arbok,,,
ALL,25,Pikachu,,,
ALL,26,Raichu,,,
ALL,27,Sandshrew,,,
ALL,28,Sandslash,,,
ALL,29,Nidoran♀,,FEMALE,
ALL,30,Nidorina,,FEMALE,
ALL,31,Nidoqueen,,FEMALE,
ALL,32,Nidoran♂,,MALE,
ALL,33,Nidorino,,MALE,
ALL,34,Nidoking,,MALE,
ALL,35,Clefairy,,,
ALL,36,Clefable,,,
ALL,37,Vulpix,,,
ALL,38,Ninetales,,,
ALL,39,Jigglypuff,,,
ALL,40,Wigglytuff,,,
ALL,41,Zubat,,,
ALL,42,Golbat,,,
ALL,43,Oddish,,,
ALL,44,Gloom,,,
ALL,45,Vileplume,,,
ALL,46,Paras,,,
ALL,47,Parasect,,,
ALL,48,Venonat,,,
ALL,49,Venomoth,,,
ALL,50,Diglett,,,
ALL,51,Dugtrio,,,
ALL,52,Meowth,,,
ALL,53,Persian,,,
ALL,54,Psyduck,,,
ALL,55,Golduck,,,
ALL,56,Mankey,,,
ALL,57,Primeape,,,
ALL,58,Growlithe,,,
ALL,59,Arcanine,,,
ALL,60,Poliwag,,,
ALL,61,Poliwhirl,,,
ALL,62,Poliwrath,,,
ALL,63,Abra,,,
ALL,64,Kadabra,,,
ALL,65,Alakazam,,,
ALL,66,Machop,,,
ALL,67,Machoke,,,
ALL,68,Machamp,,,
ALL,69,Bellsprout,,,
ALL,70,Weepinbell,,,
ALL,71,Victreebel,,,
ALL,72,Tentacool,,,
ALL,73,Tentacruel,,,
ALL,74,Geodude,,,
ALL,75,Graveler,,,
ALL,76,Golem,,,
ALL,77,Ponyta,,,
ALL,78,Rapidash,,,
ALL,79,Slowpoke,,,
ALL,80,Slowbro,,,
ALL,81,Magnemite,,UNKNOWN,
ALL,82,Magneton,,UNKNOWN,
ALL,83,Farfetch'd,,,
ALL,84,Doduo,,,
ALL,85,Dodrio,,,
ALL,86,Seel,,,
ALL,87,Dewgong,,,
ALL,88,Grimer,,,
ALL,89,Muk,,,
ALL,90,Shellder,,,
ALL,91,Cloyster,,,
ALL,92,Gastly,,,
ALL,93,Haunter,,,
ALL,94,Gengar,,,
ALL,95,Onix,,,
ALL,96,Drowzee,,,
ALL,97,Hypno,,,
ALL,98,Krabby,,,
ALL,99,Kingler,,,
ALL,100,Voltorb,,UNKNOWN,
ALL,101,Electrode,,UNKNOWN,
ALL,102,Exeggcute,,,
ALL,103,Exeggutor,,,
ALL,104,Cubone,,,
ALL,105,Marowak,,,
ALL,106,Hitmonlee,,MALE,
ALL,107,Hitmonchan,,MALE,
ALL,108,Lickitung,,,
ALL,109,Koffing,,,
ALL,110,Weezing,,,
ALL,111,Rhyhorn,,,
ALL,112,Rhydon,,,
ALL,113,Chansey,,FEMALE,
ALL,114,Tangela,,,
ALL,115,Kangaskhan,,FEMALE,
ALL,116,Horsea,,,
ALL,117,Seadra,,,
ALL,118,Goldeen,,,
ALL,119,Seaking,,,
ALL,120,Staryu,,UNKNOWN,
ALL,121,Starmie,,UNKNOWN,
ALL,122,Mr. Mime,,,
ALL,123,Scyther,,,
ALL,124,Jynx,,FEMALE,
ALL,125,Electabuzz,,,
ALL,126,Magmar,,,
ALL,127,Pinsir,,,
ALL,128,Tauros,,MALE,
ALL,129,Magikarp,,,
ALL,130,Gyarados,,,
ALL,131,Lapras,,,
ALL,132,Ditto,,UNKNOWN,
ALL,133,Eevee,,,
ALL,134,Vaporeon,,,
ALL,135,Jolteon,,,
ALL,136,Flareon,,,
ALL,137,Porygon,,UNKNOWN,
ALL,138,Omanyte,,,
ALL,139,Omastar,,,
ALL,140,Kabuto,,,
ALL,141,Kabutops,,,
ALL,142,Aerodactyl,,,
ALL,143,Snorlax,,,
ALL,144,Articuno,,UNKNOWN,
ALL,145,Zapdos,,UNKNOWN,
ALL,146,Moltres,,UNKNOWN,
ALL,147,Dratini,,,
ALL,148,Dragonair,,,
ALL,149,Dragonite,,,
ALL,150,Mewtwo,,UNKNOWN,
ALL,151,Mew,,UNKNOWN,
ALL,152,Chikorita,,,
ALL,153,Bayleef,,,
ALL,154,Meganium,,,
ALL,155,Cyndaquil,,,
ALL,156,Quilava,,,
ALL,157,Typhlosion,,,
ALL,158,Totodile,,,
ALL,159,Croconaw,,,
ALL,160,Feraligatr,,,
ALL,161,Sentret,,,
ALL,162,Furret,,,
ALL,163,Hoothoot,,,
ALL,164,Noctowl,,,
ALL,165,Ledyba,,,
ALL,166,Ledian,,,
ALL,167,Spinarak,,,
ALL,168,Ariados,,,
ALL,169,Crobat,,,
ALL,170,Chinchou,,,
ALL,171,Lanturn,,,
ALL,172,Pichu,,,
ALL,173,Cleffa,,,
ALL,174,Igglybuff,,,
ALL,175,Togepi,,,
ALL,176,Togetic,,,
ALL,177,Natu,,,
ALL,178,Xatu,,,
ALL,179,Mareep,,,
ALL,180,Flaaffy,,,
ALL,181,Ampharos,,,
ALL,182,Bellossom,,,
ALL,183,Marill,,,
ALL,184,Azumarill,,,
ALL,185,Sudowoodo,,,
ALL,186,Politoed,,,
ALL,187,Hoppip,,,
ALL,188,Skiploom,,,
ALL,189,Jumpluff,,,
ALL,190,Aipom,,,
ALL,191,Sunkern,,,
ALL,192,Sunflora,,,
ALL,193,Yanma,,,
ALL,194,Wooper,,,
ALL,195,Quagsire,,,
ALL,196,Espeon,,,
ALL,197,Umbreon,,,
ALL,198,Murkrow,,,
ALL,199,Slowking,,,
ALL,200,Misdreavus,,,
ALL,201,Unown,A,UNKNOWN,
ALL,201,Unown,B,UNKNOWN,
ALL,201,Unown,C,UNKNOWN,
ALL,201,Unown,D,UNKNOWN,
ALL,201,Unown,E,UNKNOWN,
