GAME,POKEMON_OR_ITEM,REQUIRED
CORE,Chikorita;Cyndaquil;Totodile,
CORE,Moon Stone,
CORE,Togepi,
CORE,Everstone,
CORE,Spearow,
CORE,Eevee,
CORE,Shuckle,
CORE,Thunder Stone,Pichu
CORE,Water Stone,Staryu
CORE,Leaf Stone,Oddish
CORE,Everstone,Lickitung
CORE,Tyrogue,
CORE,Upgrade,
CORE,$MG_Fire Stone;$MG_Leaf Stone;$MG_Thunder Stone;$MG_Water Stone,
CORE,Farfetch'd,STADIUM2
CORE,Gligar,STADIUM2
"GOLD,CRYSTAL",Fire Stone,Growlithe
SILVER,Fire Stone,Vulpix
CRYSTAL.Japanese,Pichu;Cleffa;Igglybuff;Tyrogue;Smoochum;Elekid;Magby,Egg Ticket
"CRYSTAL.English,CRYSTAL.French,CRYSTAL.German,CRYSTAL.Italian,CRYSTAL.Spanish",Pichu;Cleffa;Igglybuff;Tyrogue;Smoochum;Elekid;Magby,
CRYSTAL,Dratini,
