ITEM,KEY
Armor Fossil,
Burn Drive,
Chill Drive,
Claw Fossil,
Cover Fossil,
Dawn Stone,
Deep Sea Scale,
Deep Sea Tooth,
Dome Fossil,
Douse Drive,
Draco Plate,
Dragon Scale,
Dread Plate,
Dubious Disc,
Dusk Stone,
Earth Plate,
Electirizer,
Everstone,
Fire Stone,
Fist Plate,
Flame Plate,
Full Incense,
Gracidea,TRUE
Griseous Orb,
Helix Fossil,
Icicle Plate,
Insect Plate,
Iron Plate,
King's Rock,
Lax Incense,
Leaf Stone,
Liberty Pass,TRUE
Luck Incense,
Magmarizer,
Meadow Plate,
Metal Coat,
Mind Plate,
Moon Stone,
Odd Incense,
Old Amber,
Oval Stone,
Plume Fossil,
Prism Scale,
Protector,
Pure Incense,
Rage Candy Bar,
Razor Claw,
Razor Fang,
Reaper Cloth,
Reveal Glass,TRUE
Rock Incense,
Root Fossil,
Rose Incense,
Sea Incense,
Shiny Stone,
Shock Drive,
Skull Fossil,
Sky Plate,
Splash Plate,
Spooky Plate,
Stone Plate,
Sun Stone,
Thunder Stone,
Toxic Plate,
Upgrade,
Water Stone,
Wave Incense,
Zap Plate,
