GAME,POKEMON_OR_ITEM,REQUIRED
CORE,$BOY;$GIRL
CORE,Cover Fossil;Plume Fossil
CORE,Magikarp,
CORE,Prism Scale,
CORE,Gracidea,Shaymin_Land_FATEFUL
"BLACK,WHITE","Snivy,Panpour;Tepig,Pansage;Oshawott,Pansear",
"BLACK,WHITE",Zorua_MALE,Celebi_FATEFUL
"BLACK,WHITE",$SHINY_BEAST,Raikou_FATEFUL_SHINY
"BLACK,WHITE",$SHINY_BEAST,Entei_FATEFUL_SHINY
"BLACK,WHITE",$SHINY_BEAST,Suicune_FATEFUL_SHINY
"BLACK,WHITE",Larvesta,
"BLACK,WHITE",$OT_10,DIAMOND
"BLACK,WHITE",$OT_10,PEARL
"BLACK,WHITE",$OT_10,PLATINUM
"BLACK,WHITE",$OT_10,HEARTGOLD
"BLACK,WHITE",$OT_10,SOULSILVER
"BLACK,WHITE",$OT_10,BLACK
"BLACK,WHITE",$OT_10,WHITE
"BLACK,WHITE",$OT_10,BLACK2
"BLACK,WHITE",$OT_10,WHITE2
"BLACK,WHITE",Everstone,$OT_10
"BLACK,WHITE",Fire Stone;Leaf Stone;Water Stone,
"BLACK,WHITE",Griseous Orb,
"BLACK,WHITE",Thunder Stone,
"BLACK,BLACK2",Shock Drive,Genesect
"BLACK,BLACK2",Burn Drive,Genesect
"WHITE,WHITE2",Chill Drive,Genesect
"WHITE,WHITE2",Douse Drive,Genesect
"BLACK2,WHITE2",Snivy;Tepig;Oshawott,
"BLACK2,WHITE2",Deerling_Spring;Deerling_Summer;Deerling_Autumn;Deerling_Winter,
"BLACK2,WHITE2",Eevee_MALE,
"BLACK2,WHITE2",Happiny,
"BLACK2,WHITE2",Zorua_MALE,
"BLACK2,WHITE2",Everstone,
"BLACK2,WHITE2",Reveal Glass,Landorus_Therian
BLACK2,Gible,
WHITE2,Dratini,
