GAME,POKEMON_OR_ITEM
CORE,Aerodactylite
CORE,Alakazite
CORE,Fire Stone
CORE,Leaf Stone
CORE,Thunder Stone
CORE,Water Stone
"SUN,MOON,ULTRASUN,ULTRAMOON",Absolite
"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth
"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
"SUN,MOON,ULTRASUN,ULTRAMOON",Dubious Disc
"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer
"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
"SUN,MOON,ULTRASUN,ULTRAMOON",Full Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Garchompite
"SUN,MOON,ULTRASUN,ULTRAMOON",Gengarite
"SUN,MOON,ULTRASUN,ULTRAMOON",Glalitite
"SUN,MOON,ULTRASUN,ULTRAMOON",Gyaradosite
"SUN,MOON,ULTRASUN,ULTRAMOON",Kangaskhanite
"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
"SUN,MOON,ULTRASUN,ULTRAMOON",Lax Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Lucarionite
"SUN,MOON,ULTRASUN,ULTRAMOON",Luck Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer
"SUN,MOON,ULTRASUN,ULTRAMOON",Metagrossite
"SUN,MOON,ULTRASUN,ULTRAMOON",Odd Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Protector
"SUN,MOON,ULTRASUN,ULTRAMOON",Pure Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Reaper Cloth
"SUN,MOON,ULTRASUN,ULTRAMOON",Rock Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Rose Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Sablenite
"SUN,MOON,ULTRASUN,ULTRAMOON",Sachet
"SUN,MOON,ULTRASUN,ULTRAMOON",Salamencite
"SUN,MOON,ULTRASUN,ULTRAMOON",Scizorite
"SUN,MOON,ULTRASUN,ULTRAMOON",Sea Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Sharpedonite
"SUN,MOON,ULTRASUN,ULTRAMOON",Slowbronite
"SUN,MOON,ULTRASUN,ULTRAMOON",Upgrade
"SUN,MOON,ULTRASUN,ULTRAMOON",Wave Incense
"SUN,MOON,ULTRASUN,ULTRAMOON",Whipped Dream
"ULTRASUN,ULTRAMOON,LETSGOPIKACHU,LETSGOEEVEE",Beedrillite
"ULTRASUN,ULTRAMOON",Sceptilite
"ULTRASUN,ULTRAMOON",Abomasite
"ULTRASUN,ULTRAMOON",Aggronite
"ULTRASUN,ULTRAMOON",Altarianite
"ULTRASUN,ULTRAMOON",Ampharosite
"ULTRASUN,ULTRAMOON",Audinite
"ULTRASUN,ULTRAMOON",Banettite
"ULTRASUN,ULTRAMOON",Blazikenite
"ULTRASUN,ULTRAMOON",Cameruptite
"ULTRASUN,ULTRAMOON",Galladite
"ULTRASUN,ULTRAMOON",Gardevoirite
"ULTRASUN,ULTRAMOON",Heracronite
"ULTRASUN,ULTRAMOON",Houndoominite
"ULTRASUN,ULTRAMOON",Latiasite
"ULTRASUN,ULTRAMOON",Latiosite
"ULTRASUN,ULTRAMOON",Lopunnite
"ULTRASUN,ULTRAMOON",Manectite
"ULTRASUN,ULTRAMOON",Mawilite
"ULTRASUN,ULTRAMOON",Medichamite
"ULTRASUN,ULTRAMOON",Mewtwonite X
"ULTRASUN,ULTRAMOON",Mewtwonite Y
"ULTRASUN,ULTRAMOON",Pidgeotite
"ULTRASUN,ULTRAMOON",Pinsirite
"ULTRASUN,ULTRAMOON",Steelixite
"ULTRASUN,ULTRAMOON",Swampertite
"ULTRASUN,ULTRAMOON",Tyranitarite
"LETSGOPIKACHU,LETSGOEEVEE",Ice Stone
