SPECIES,GAME,ITEM
Clefairy,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Clefable,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Jigglypuff,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Wigglytuff,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Poliwhirl,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Poliwrath,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Geodude,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Graveler,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Golem,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Slowbro,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Magnemite,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Magneton,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Horsea,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Seadra,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Electabuzz,"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer
Magmar,"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer
Dratini,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Dragonair,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Dragonite,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Chinchou,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
Lanturn,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
Cleffa,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Politoed,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Slowking,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Steelix,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Skarmory,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Kingdra,"SUN,MOON,ULTRASUN,ULTRAMOON",Dragon Scale
Elekid,"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer
Magby,"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer
Hariyama,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Carvanha,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth
Sharpedo,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth
Lunatone,"SUN,MOON,ULTRASUN,ULTRAMOON",Moon Stone
Solrock,"SUN,MOON,ULTRASUN,ULTRAMOON",Sun Stone
Huntail,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth
Gorebyss,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
Relicanth,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
Beldum,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Metang,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Metagross,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Bronzor,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Bronzong,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Happiny,"SUN,MOON,ULTRASUN,ULTRAMOON",Oval Stone
Magnezone,"SUN,MOON,ULTRASUN,ULTRAMOON",Metal Coat
Electivire,"SUN,MOON,ULTRASUN,ULTRAMOON",Electirizer
Magmortar,"SUN,MOON,ULTRASUN,ULTRAMOON",Magmarizer
Roggenrola,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Boldore,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Gigalith,"SUN,MOON,ULTRASUN,ULTRAMOON",Everstone
Basculin_Red-Striped,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Tooth
Basculin_Blue-Striped,"SUN,MOON,ULTRASUN,ULTRAMOON",Deep Sea Scale
Hawlucha,"SUN,MOON,ULTRASUN,ULTRAMOON",King's Rock
Bruxish,"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Fang
Jangmo-o,"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Claw
Hakamo-o,"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Claw
Kommo-o,"SUN,MOON,ULTRASUN,ULTRAMOON",Razor Claw
