GAME,PARENT,CHILD,ITEM
"SUN,MOON,ULTRASUN,ULTRAMOON",Bulbasaur,Bulbasaur,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ivysaur,Bulbasaur,
"SUN,MOON,ULTRASUN,ULTRAMOON",Venusaur,Bulbasaur,
"SUN,MOON,ULTRASUN,ULTRAMOON",Charmander,Charmander,
"SUN,MOON,ULTRASUN,ULTRAMOON",Charmeleon,Charmander,
"SUN,MOON,ULTRASUN,ULTRAMOON",Charizard,Charmander,
"SUN,MOON,ULTRASUN,ULTRAMOON",Squirtle,Squirtle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wartortle,Squirtle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Blastoise,Squirtle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Caterpie,Caterpie,
"SUN,MOON,ULTRASUN,ULTRAMOON",Metapod,Caterpie,
"SUN,MOON,ULTRASUN,ULTRAMOON",Butterfree,Caterpie,
"SUN,MOON,ULTRASUN,ULTRAMOON",Weedle,Weedle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Kakuna,Weedle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Beedrill,Weedle,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pidgey,Pidgey,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pidgeotto,Pidgey,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pidgeot,Pidgey,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rattata,Rattata_Alolan,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rattata,Rattata,Everstone
"SUN,MOON,ULTRASUN,ULTRAMOON",Rattata_Alolan,Rattata_Alolan
"SUN,MOON,ULTRASUN,ULTRAMOON",Raticate,Rattata_Alolan,
"SUN,MOON,ULTRASUN,ULTRAMOON",Raticate,Rattata,Everstone
"SUN,MOON,ULTRASUN,ULTRAMOON",Raticate_Alolan,Rattata_Alolan
"SUN,MOON,ULTRASUN,ULTRAMOON",Raticate_Alolan Totem,Rattata_Alolan
"SUN,MOON,ULTRASUN,ULTRAMOON",Spearow,Spearow,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fearow,Spearow,
"SUN,MOON,ULTRASUN,ULTRAMOON",Ekans,Ekans,
"SUN,MOON,ULTRASUN,ULTRAMOON",Arbok,Ekans,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pikachu,Pichu,
"SUN,MOON,ULTRASUN,ULTRAMOON",Raichu,Pichu,
"SUN,MOON,ULTRASUN,ULTRAMOON",Raichu_Alolan,Pichu
"SUN,MOON,ULTRASUN,ULTRAMOON",Sandshrew,Sandshrew_Alolan,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sandshrew,Sandshrew,Everstone
