GAME,POKEMON_OR_ITEM,REQUIRED
CORE,Swablu,BOX
CORE,Zigzagoon,BOX
CORE,Skitty,BOX
CORE,Pichu,BOX
CORE,Celebi,"COLOSSEUM,BONUSDISC_JPN"
"RUBY,SAPPHIRE,EMERALD",Treecko;Torchic;Mudkip,
"RUBY,SAPPHIRE,EMERALD",Wynaut,
"RUBY,SAPPHIRE,EMERALD",Castform,
"RUBY,SAPPHIRE,EMERALD",Sun Stone,
"RUBY,SAPPHIRE,EMERALD",King's Rock,
"RUBY,SAPPHIRE,EMERALD",Deep Sea Scale;Deep Sea Tooth,
"RUBY,SAPPHIRE,EMERALD",Beldum,
"RUBY,SAPPHIRE",Claw Fossil;Root Fossil,
"RUBY,SAPPHIRE",Jirachi,BONUSDISC
"RUBY,SAPPHIRE",Jirachi,CHANNEL.EUR
"RUBY,SAPPHIRE",Eon Ticket,EONTICKET
"FIRERED,LEAFGREEN","Bulbasaur,$START_BULBASAUR;Charmander,$START_CHARMANDER;Squirtle,$START_SQUIRTLE",
"FIRERED,LEAFGREEN",Magikarp,
"FIRERED,LEAFGREEN",Helix Fossil;Dome Fossil,
"FIRERED,LEAFGREEN",Everstone,
"FIRERED,LEAFGREEN",Old Amber,
"FIRERED,LEAFGREEN",Eevee,
"FIRERED,LEAFGREEN",Hitmonchan;Hitmonlee,
"FIRERED,LEAFGREEN",Lapras,
"FIRERED,LEAFGREEN",Togepi,
"FIRERED,LEAFGREEN",Moon Stone,
EMERALD,$RED;$BLUE,
EMERALD,Chikorita;Cyndaquil;Totodile,DEX_HOENN
COLOSSEUM,Espeon_MALE,
COLOSSEUM,Umbreon_MALE,
COLOSSEUM,Plusle,
COLOSSEUM,Bayleef,
COLOSSEUM,Quilava,
COLOSSEUM,Croconaw,
COLOSSEUM,Furret,
COLOSSEUM,Noctowl,
COLOSSEUM,Ledian,
COLOSSEUM,Ariados,
COLOSSEUM,Togetic,
COLOSSEUM,Flaaffy,
COLOSSEUM,Sudowoodo,
COLOSSEUM,Skiploom,
COLOSSEUM,Aipom,
COLOSSEUM,Sunflora,
COLOSSEUM,Yanma,
COLOSSEUM,Quagsire,
COLOSSEUM,Murkrow,
COLOSSEUM,Misdreavus,
COLOSSEUM,Forretress,
COLOSSEUM,Dunsparce,
COLOSSEUM,Gligar,
COLOSSEUM,Granbull,
COLOSSEUM,Qwilfish,
COLOSSEUM,Shuckle,
COLOSSEUM,Heracross,
COLOSSEUM,Sneasel,
COLOSSEUM,Ursaring,
COLOSSEUM,Slugma,
COLOSSEUM,Piloswine,
COLOSSEUM,Remoraid,
COLOSSEUM,Delibird,
COLOSSEUM,Mantine,
COLOSSEUM,Skarmory,
COLOSSEUM,Houndoom,
COLOSSEUM,Stantler,
COLOSSEUM,Smeargle,
COLOSSEUM,Hitmontop,
COLOSSEUM,Miltank,
COLOSSEUM,Raikou,
COLOSSEUM,Entei,
COLOSSEUM,Suicune,
COLOSSEUM,Tyranitar,
COLOSSEUM,Makuhita,
COLOSSEUM,Meditite,
COLOSSEUM,Vibrava,
COLOSSEUM,Swablu,
COLOSSEUM,Tropius,
COLOSSEUM,Absol,
COLOSSEUM,"Metagross,Metal Coat",
COLOSSEUM,Ho-Oh,
COLOSSEUM,Celebi,BONUSDISC_JPN
COLOSSEUM.JPN,Togepi_FEMALE,DOUBLEBATTLE
COLOSSEUM.JPN,Mareep_FEMALE,DOUBLEBATTLE
COLOSSEUM.JPN,Scizor_MALE,DOUBLEBATTLE
XD,Chikorita_FATEFUL,
XD,Cyndaquil_FATEFUL,
XD,Totodile_FATEFUL,
XD,Eevee_FATEFUL,
XD,Togepi_FATEFUL_HORDEL,
XD,Teddiursa_FATEFUL,
XD,Ledyba_FATEFUL,
XD,Poochyena_FATEFUL,
XD,Houndour_FATEFUL,
XD,Baltoy_FATEFUL,
XD,Spheal_FATEFUL,
XD,Mareep_FATEFUL,
XD,Gulpin_FATEFUL,
XD,Seedot_FATEFUL,
XD,Spinarak_FATEFUL,
XD,Numel_FATEFUL,
XD,Shroomish_FATEFUL,
XD,Carvanha_FATEFUL,
XD,Delcatty_FATEFUL,
XD,Voltorb_FATEFUL,
XD,Makuhita_FATEFUL,
XD,Vulpix_FATEFUL,
XD,Duskull_FATEFUL,
XD,Ralts_FATEFUL,
XD,Mawile_FATEFUL,
XD,Snorunt_FATEFUL,
XD,Pineco_FATEFUL,
XD,Natu_FATEFUL,
XD,Roselia_FATEFUL,
XD,Meowth_FATEFUL,
XD,Swinub_FATEFUL,
XD,Spearow_FATEFUL,
XD,Grimer_FATEFUL,
XD,Seel_FATEFUL,
XD,Lunatone_FATEFUL,
XD,Nosepass_FATEFUL,
XD,Zangoose_FATEFUL,
XD,Paras_FATEFUL,
XD,Growlithe_FATEFUL,
XD,Shellder_FATEFUL,
XD,Beedrill_FATEFUL,
XD,Pidgeotto_FATEFUL,
XD,Tangela_FATEFUL,
XD,Butterfree_FATEFUL,
XD,"Magneton_FATEFUL,Metal Coat",
XD,Venomoth_FATEFUL,
XD,Weepinbell_FATEFUL,
XD,Arbok_FATEFUL,
XD,Primeape_FATEFUL,
XD,Hypno_FATEFUL,
XD,Golduck_FATEFUL,
XD,Sableye_FATEFUL,
XD,Dodrio_FATEFUL,
XD,Raticate_FATEFUL,
XD,Farfetch'd_FATEFUL,
XD,Altaria_FATEFUL,
XD,Kangaskhan_FATEFUL,
XD,Banette_FATEFUL,
XD,Magmar_FATEFUL,
XD,Pinsir_FATEFUL,
XD,Rapidash_FATEFUL,
XD,Magcargo_FATEFUL,
XD,Hitmonchan_FATEFUL,
XD,Hitmonlee_FATEFUL,
XD,Lickitung_FATEFUL,
XD,Scyther_FATEFUL,
XD,Chansey_FATEFUL,
XD,Solrock_FATEFUL,
XD,Starmie_FATEFUL,
XD,Swellow_FATEFUL,
XD,Electabuzz_FATEFUL,
XD,Snorlax_FATEFUL,
XD,Poliwrath_FATEFUL,
XD,Mr. Mime_FATEFUL,
XD,Dugtrio_FATEFUL,
XD,Manectric_FATEFUL,
XD,Salamence_FATEFUL,
XD,Marowak_FATEFUL,
XD,Lapras_FATEFUL,
XD,Rhydon_FATEFUL,
XD,Exeggutor_FATEFUL,
XD,Tauros_FATEFUL,
XD,Dragonite_FATEFUL,
XD,Articuno_FATEFUL,
XD,Zapdos_FATEFUL,
XD,Moltres_FATEFUL,
XD,Lugia_FATEFUL,
XD,Fire Stone;Moon Shard;Sun Shard;Thunder Stone;Water Stone,
