SPECIES,GAME,ITEM
Clefairy,CORE,Moon Stone
Clefable,CORE,Moon Stone
Poliwhirl,"RUBY,SAPPHIRE,EMERALD",King's Rock
Poliwrath,"RUBY,SAPPHIRE,EMERALD",King's Rock
Geodude,"RUBY,SAPPHIRE,EMERALD",Everstone
Graveler,"RUBY,SAPPHIRE,EMERALD",Everstone
Slowpoke,"RUBY,SAPPHIRE,EMERALD",King's Rock
Slowbro,"RUBY,SAPPHIRE,EMERALD",King's Rock
Magnemite,"RUBY,SAPPHIRE,EMERALD",Metal Coat
Magneton,"RUBY,SAPPHIRE,EMERALD",Metal Coat
Horsea,"RUBY,SAPPHIRE,EMERALD",Dragon Scale
Seadra,"RUBY,SAPPHIRE,EMERALD",Dragon Scale
Dratini,"RUBY,SAPPHIRE,EMERALD",Dragon Scale
Dragonair,"RUBY,SAPPHIRE,EMERALD",Dragon Scale
Dragonite,"RUBY,SAPPHIRE,EMERALD",Dragon Scale
Chinchou,CORE,Yellow Shard
Cleffa,CORE,Moon Stone
Politoed,CORE,King's Rock
Slowking,CORE,King's Rock
Steelix,CORE,Metal Coat
Corsola,CORE,Red Shard
Kingdra,CORE,Dragon Scale
Hariyama,CORE,King's Rock
Lunatone,CORE,Moon Stone
Solrock,CORE,Sun Stone
Clamperl,CORE,Blue Shard
Relicanth,CORE,Green Shard
Bagon,CORE,Dragon Scale
Shelgon,CORE,Dragon Scale
Salamence,CORE,Dragon Scale
Beldum,CORE,Metal Coat
Metang,CORE,Metal Coat
Metagross,CORE,Metal Coat
