GAME,POKEMON_OR_ITEM
CORE,Dawn Stone
CORE,Dubious Disc
CORE,Dusk Stone
CORE,Electirizer
CORE,Everstone
CORE,Fire Stone
CORE,Full Incense
CORE,Lax Incense
CORE,Leaf Stone
CORE,Luck Incense
CORE,Magmarizer
CORE,Moon Stone
CORE,Odd Incense
CORE,Protector
CORE,Pure Incense
CORE,Razor Claw
CORE,Razor Fang
CORE,Reaper Cloth
CORE,Rock Incense
CORE,Rose Incense
CORE,Sachet
CORE,Sea Incense
CORE,Shiny Stone
CORE,Sun Stone
CORE,Thunder Stone
CORE,Upgrade
CORE,Water Stone
CORE,Wave Incense
CORE,Whipped Dream
