GAME,ITEM,KEY
CORE,Abomasite,
CORE,Absolite,
CORE,Aerodactylite,
CORE,Aggronite,
CORE,Alakazite,
"OMEGARUBY,ALPHASAPPHIRE",Altarianite,
CORE,Ampharosite,
CORE,Armor Fossil,
"OMEGARUBY,ALPHASAPPHIRE",Audinite,
CORE,Banettite,
"OMEGARUBY,ALPHASAPPHIRE",Beedrillite,
CORE,Blastoisinite,
CORE,Blazikenite,
"OMEGARUBY,ALPHASAPPHIRE",Blue Orb,
CORE,Burn Drive,
"OMEGARUBY,ALPHASAPPHIRE",Cameruptite,
CORE,Charizardite X,
CORE,Charizardite Y,
CORE,Chill Drive,
CORE,Claw Fossil,
CORE,Cover Fossil,
CORE,Dawn Stone,
CORE,Deep Sea Scale,
CORE,Deep Sea Tooth,
"OMEGARUBY,ALPHASAPPHIRE",Diancite,
CORE,Dome Fossil,
CORE,Douse Drive,
CORE,Draco Plate,
CORE,Dragon Scale,
CORE,Dread Plate,
CORE,Dubious Disc,
CORE,Dusk Stone,
CORE,Earth Plate,
CORE,Electirizer,
CORE,Eon Ticket,TRUE
CORE,Everstone,
CORE,Fire Stone,
CORE,Fist Plate,
CORE,Flame Plate,
CORE,Full Incense,
"OMEGARUBY,ALPHASAPPHIRE",Galladite,
CORE,Garchompite,
CORE,Gardevoirite,
CORE,Gengarite,
"OMEGARUBY,ALPHASAPPHIRE",Glalitite,
CORE,Griseous Orb,
CORE,Gyaradosite,
CORE,Helix Fossil,
CORE,Heracronite,
CORE,Houndoominite,
CORE,Icicle Plate,
CORE,Insect Plate,
CORE,Iron Plate,
CORE,Jaw Fossil,
CORE,Kangaskhanite,
CORE,King's Rock,
CORE,Latiasite,
CORE,Latiosite,
CORE,Lax Incense,
CORE,Leaf Stone,
"OMEGARUBY,ALPHASAPPHIRE",Lopunnite,
CORE,Lucarionite,
CORE,Luck Incense,
CORE,Magmarizer,
CORE,Manectite,
CORE,Mawilite,
CORE,Meadow Plate,
CORE,Medichamite,
"OMEGARUBY,ALPHASAPPHIRE",Metagrossite,
CORE,Metal Coat,
CORE,Mewtwonite X,
CORE,Mewtwonite Y,
CORE,Mind Plate,
CORE,Moon Stone,
CORE,Odd Incense,
CORE,Old Amber,
CORE,Oval Stone,
"OMEGARUBY,ALPHASAPPHIRE",Pidgeotite,
CORE,Pinsirite,
CORE,Pixie Plate,
CORE,Plume Fossil,
CORE,Prism Scale,
CORE,Protector,
CORE,Pure Incense,
CORE,Razor Claw,
CORE,Razor Fang,
CORE,Reaper Cloth,
"OMEGARUBY,ALPHASAPPHIRE",Red Orb,
CORE,Rock Incense,
CORE,Root Fossil,
CORE,Rose Incense,
"OMEGARUBY,ALPHASAPPHIRE",Sablenite,
CORE,Sachet,
CORE,Sail Fossil,
"OMEGARUBY,ALPHASAPPHIRE",Salamencite,
"OMEGARUBY,ALPHASAPPHIRE",Sceptilite,
CORE,Scizorite,
CORE,Sea Incense,
"OMEGARUBY,ALPHASAPPHIRE",Sharpedonite,
CORE,Shiny Stone,
CORE,Shock Drive,
CORE,Skull Fossil,
CORE,Sky Plate,
"OMEGARUBY,ALPHASAPPHIRE",Slowbronite,
CORE,Splash Plate,
CORE,Spooky Plate,
"OMEGARUBY,ALPHASAPPHIRE",Steelixite,
CORE,Stone Plate,
CORE,Sun Stone,
"OMEGARUBY,ALPHASAPPHIRE",Swampertite,
CORE,Thunder Stone,
CORE,Toxic Plate,
CORE,Tyranitarite,
CORE,Upgrade,
CORE,Venusaurite,
CORE,Water Stone,
CORE,Wave Incense,
CORE,Whipped Dream,
CORE,Zap Plate,
